cycle2> end of cycle      217 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      218 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      219 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      220 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      221 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      222 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      223 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      224 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      225 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      226 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      227 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      228 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      229 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      230 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      231 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      232 new min=       0 new ts=       0 total min=     400 total ts=    2395
cycle2> end of cycle      233 new min=       0 new ts=       3 total min=     400 total ts=    2398
cycle2> end of cycle      234 new min=       0 new ts=       0 total min=     400 total ts=    2398
cycle2> end of cycle      235 new min=       0 new ts=       0 total min=     400 total ts=    2398
cycle2> end of cycle      236 new min=       0 new ts=       0 total min=     400 total ts=    2398
cycle2> end of cycle      237 new min=       0 new ts=       0 total min=     400 total ts=    2398
cycle2> end of cycle      238 new min=       0 new ts=       0 total min=     400 total ts=    2398
cycle2> end of cycle      239 new min=       0 new ts=       0 total min=     400 total ts=    2398
cycle2> end of cycle      240 new min=       0 new ts=       0 total min=     400 total ts=    2398
cycle2> end of cycle      241 new min=       0 new ts=       1 total min=     400 total ts=    2399
cycle2> end of cycle      242 new min=       0 new ts=       0 total min=     400 total ts=    2399
cycle2> end of cycle      243 new min=       0 new ts=       0 total min=     400 total ts=    2399
cycle2> end of cycle      244 new min=       0 new ts=       0 total min=     400 total ts=    2399
cycle2> end of cycle      245 new min=       0 new ts=       1 total min=     400 total ts=    2400
cycle2> end of cycle      246 new min=       0 new ts=       1 total min=     400 total ts=    2401
cycle2> end of cycle      247 new min=       0 new ts=       0 total min=     400 total ts=    2401
cycle2> end of cycle      248 new min=       0 new ts=       0 total min=     400 total ts=    2401
cycle2> end of cycle      249 new min=       0 new ts=       0 total min=     400 total ts=    2401
cycle2> end of cycle      250 new min=       0 new ts=       1 total min=     400 total ts=    2402
cycle2> end of cycle      251 new min=       0 new ts=       0 total min=     400 total ts=    2402
cycle2> end of cycle      252 new min=       0 new ts=       0 total min=     400 total ts=    2402
cycle2> end of cycle      253 new min=       0 new ts=       0 total min=     400 total ts=    2402
cycle2> end of cycle      254 new min=       0 new ts=       0 total min=     400 total ts=    2402
cycle2> end of cycle      255 new min=       0 new ts=       0 total min=     400 total ts=    2402
cycle2> end of cycle      256 new min=       0 new ts=       1 total min=     400 total ts=    2403
cycle2> end of cycle      257 new min=       0 new ts=       0 total min=     400 total ts=    2403
cycle2> end of cycle      258 new min=       0 new ts=       0 total min=     400 total ts=    2403
cycle2> end of cycle      259 new min=       0 new ts=       0 total min=     400 total ts=    2403
cycle2> end of cycle      260 new min=       0 new ts=       1 total min=     400 total ts=    2404
cycle2> end of cycle      261 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      262 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      263 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      264 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      265 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      266 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      267 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      268 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      269 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      270 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      271 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      272 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      273 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      274 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      275 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      276 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      277 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      278 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      279 new min=       0 new ts=       0 total min=     400 total ts=    2404
cycle2> end of cycle      280 new min=       0 new ts=       1 total min=     400 total ts=    2405
cycle2> end of cycle      281 new min=       0 new ts=       0 total min=     400 total ts=    2405
